,POLIS_ID,LOSS_ID,DTP_DT,CLAIM_DT,PAY_ID,PAY_AMT,PAY_DT,DAMAGE_TYPE,IS_ALCHO_DMG,IS_DISAPPEAR,EURO_PROTOCOL,CREATE_DT,START_DT,END_DT,PREMIUM,DISSOLUTION_DT,VIN,CAR_ISSUE,CAR_DIAG_DT,PERS_POLIS_OWN,PERS_CAR_OWN,KLADR_CODE,MULTIDRIVE_FLG,BONUS_MALUS,CAR_ENG_PWR,TRAILER_FLG,CAR_WEIGHT,CAR_SEATS_CNT,USE_PURPOSE_FLG,REG_COUNTRY_FLG,START1,END1,START2,END2,START3,END3,hash_vin,PAY_AMT_sum,DRIVER_COUNT,MIN_DRIVER_AGE,MIN_DRIVER_EXP
4961,12267,5092,30.06.2019,09.07.2019,6098,376320.13,18.07.2019,1,0,0,0,2019-06-20 00:00:00,2019-06-23 00:00:00,2020-06-22 00:00:00,8112.79,,3a610f048638d06f1c875c58c6e2425243b7be1a716841ba4b22c0f7b89f754d,2012.0,2020-06-21 00:00:00,C4F451823F03E7B5C681E75AFEDDBB0D3E49010C40D6E88A1B7363E704640D96,C4F451823F03E7B5C681E75AFEDDBB0D3E49010C40D6E88A1B7363E704640D96,36000001.0,1,0.95,120.0,0,,,1,1,2019-06-23 00:00:00,2020-06-22 00:00:00,,,,,3a610f048638d06f1c875c58c6e2425243b7be1a716841ba4b22c0f7b89f754d,797773.2,1.0,34.0,16.0
4962,7850,2019,30.07.2018,08.08.2018,2411,8285.41,07.11.2018,1,0,0,0,2018-07-06 00:00:00,2018-07-06 00:00:00,2019-07-05 00:00:00,7560.65,,1466b4a9331b550d431a8502f8bd1637e0b5858e4f2f07cf3e24abcd89504674,2012.0,,867A591DD0AB8BFED4D0B16E60B992E256B0D8BE6FC95CA1DDE02484906606A2,867A591DD0AB8BFED4D0B16E60B992E256B0D8BE6FC95CA1DDE02484906606A2,29002001.0,0,1.0,120.0,0,,,1,1,2018-07-06 00:00:00,2019-07-05 00:00:00,,,,,1466b4a9331b550d431a8502f8bd1637e0b5858e4f2f07cf3e24abcd89504674,100634.22,,,
4963,36023,5027,30.07.2018,02.08.2018,6014,15204.0,30.10.2018,1,0,0,1,2018-05-28 00:00:00,2018-05-28 00:00:00,2019-05-27 00:00:00,9957.32,,96411c90ce09545a7c5a2b4f3d36eb47b2218e27a38242db33780b407a3ef55a,2015.0,2020-05-01 00:00:00,DA3ACC070F663A2CBCFE3C26785ED8DB054EB628D8333123B99EFDDB9D590D02,DA3ACC070F663A2CBCFE3C26785ED8DB054EB628D8333123B99EFDDB9D590D02,53000001.0,1,1.55,114.0,-1,,,1,1,2018-05-28 00:00:00,2019-05-27 00:00:00,,,,,96411c90ce09545a7c5a2b4f3d36eb47b2218e27a38242db33780b407a3ef55a,239961.77,1.0,53.0,27.0
4964,103548,4427,30.07.2018,01.08.2018,5281,69752.87,21.09.2018,1,0,0,0,2018-04-10 00:00:00,2018-04-11 00:00:00,2019-04-10 00:00:00,8153.64,,503e993b251705f0417a9f0ee134d7592c7b4be1fb978998f2f6d51f9b306485,2000.0,2018-04-10 00:00:00,D5A949557EA4ED73BFF8E451FBAB7EF94FD32641AD178D7D9D8C20C0CAC5EE1E,5568A2F67C9DCF3A0AAD33AF44A69E63D0A9090B7E66DC7A1420DF113B229402,78000000.0,1,1.0,71.0,0,,,1,1,2018-04-11 00:00:00,2019-04-10 00:00:00,,,,,503e993b251705f0417a9f0ee134d7592c7b4be1fb978998f2f6d51f9b306485,69752.87,1.0,29.0,4.0
4965,105315,4457,30.07.2018,06.08.2018,5316,73115.05,17.08.2018,1,0,0,0,2018-05-24 00:00:00,2018-05-25 00:00:00,2019-05-24 00:00:00,13177.6,,43c986e5c97f1c5e8674b957d06b758a7ba267142e4d4eabeaab2c2c9772c5f6,2008.0,2018-05-24 00:00:00,27462206BB0BDAFE0FBE4237200B4F724DF4FD521109927D38DBA52E8EBF4682,27462206BB0BDAFE0FBE4237200B4F724DF4FD521109927D38DBA52E8EBF4682,77003000.0,1,1.0,265.0,0,,,1,1,2018-05-25 00:00:00,2019-05-24 00:00:00,,,,,43c986e5c97f1c5e8674b957d06b758a7ba267142e4d4eabeaab2c2c9772c5f6,73115.05,1.0,34.0,11.0
4966,39495,2820,30.07.2018,26.09.2018,3396,124585.85,10.10.2018,1,0,0,0,2018-07-17 00:00:00,2018-07-18 00:00:00,2019-07-17 00:00:00,3623.84,,78bb4e4e7b7b0a0c334e296191de4debdcc4124440d4f5aed60002b57c1293b9,2002.0,,CB5CC4F2431463433199787E0F41E8A628100F9E40A2005F66D36D308DC418A8,CB5CC4F2431463433199787E0F41E8A628100F9E40A2005F66D36D308DC418A8,48012000.0,1,1.0,78.0,-1,,,1,1,2018-07-18 00:00:00,2019-07-17 00:00:00,,,,,78bb4e4e7b7b0a0c334e296191de4debdcc4124440d4f5aed60002b57c1293b9,124585.85,3.0,26.0,5.0
4967,37876,111,30.07.2019,01.08.2019,119,3042.99,19.09.2019,1,0,0,0,2018-12-04 00:00:00,2018-12-28 00:00:00,2019-12-27 00:00:00,8153.64,,0cbe0e9f82e7c2297502cd83093597784220259e5d46c821ef07c72749aae2ad,1999.0,2018-12-28 00:00:00,1C044D5D036C97D68743BDBE4B7A4D5A021CC69D25980F3F0855259B60BDBE48,1C044D5D036C97D68743BDBE4B7A4D5A021CC69D25980F3F0855259B60BDBE48,78000000.0,1,1.0,95.0,0,,,1,1,2018-12-28 00:00:00,2019-12-27 00:00:00,,,,,0cbe0e9f82e7c2297502cd83093597784220259e5d46c821ef07c72749aae2ad,3042.99,3.0,28.0,4.0
4968,79992,2449,30.07.2019,06.08.2019,2929,4321.37,18.01.2020,1,0,0,1,2018-08-07 00:00:00,2018-08-23 00:00:00,2019-08-22 00:00:00,5765.2,,5b62c989ef4032a45e6501dd47b7f7658c29c88a91aeb93828196c675b82ba8d,2015.0,2020-08-08 00:00:00,1DB113B8523FD1236DBC1C693964B013F1CB32028FCF5E69E9354C59035EEED9,1DB113B8523FD1236DBC1C693964B013F1CB32028FCF5E69E9354C59035EEED9,77000000.0,1,0.5,123.0,0,,,1,1,2018-08-23 00:00:00,2019-08-22 00:00:00,,,,,5b62c989ef4032a45e6501dd47b7f7658c29c88a91aeb93828196c675b82ba8d,15871.23,1.0,52.0,34.0
4969,35659,4641,30.07.2019,12.08.2019,5539,5749.47,12.10.2019,1,0,0,0,2019-06-03 00:00:00,2019-06-12 00:00:00,2020-06-11 00:00:00,1739.44,,2987cfd0adf8d7d5b7232cb0ce37d438854b0498e1148171ed4f164942ea6dde,2007.0,2020-06-04 00:00:00,47729760E8C97EA498C3A73287FD18D680B9793B9576C505F9F37C6C17A729DB,47729760E8C97EA498C3A73287FD18D680B9793B9576C505F9F37C6C17A729DB,39000000.0,1,1.0,75.0,0,,,1,1,2019-06-12 00:00:00,2019-09-11 00:00:00,,,,,2987cfd0adf8d7d5b7232cb0ce37d438854b0498e1148171ed4f164942ea6dde,61271.59,1.0,58.0,18.0
4970,5054,1524,30.07.2019,05.08.2019,1842,6615.63,12.08.2019,1,0,0,1,2018-12-30 00:00:00,2018-12-30 00:00:00,2019-12-29 00:00:00,5534.59,,638f935034aa890a63ab9c521e1744b5a7db6bc1bb3fe0cb12073a778e2d7f40,1998.0,2019-12-30 00:00:00,9337B4A6A2A2DE3720487508925E979736D07502744A64A0AFED78F6964B6C83,9C44BA13006721D2AA2DABE432FB3386361A7C1A5F41C2836FFE2B854F02D4F7,62000001.0,1,0.6,178.0,0,,,1,1,2018-12-30 00:00:00,2019-12-29 00:00:00,,,,,638f935034aa890a63ab9c521e1744b5a7db6bc1bb3fe0cb12073a778e2d7f40,6615.63,3.0,43.0,14.0
4971,55028,1188,30.07.2019,02.08.2019,1451,11851.11,30.09.2019,1,0,0,1,2019-07-03 00:00:00,2019-07-20 00:00:00,2020-07-19 00:00:00,16264.51,,0908b1d9c955fc6e6904b0b8afbc112ef0cdb3a627809c16d4d59f15365288c5,2005.0,2018-07-07 00:00:00,D2875C5C4F1B183BAC963E2FBDA01EE543FBB2A2459E41BA4740751937201179,D2875C5C4F1B183BAC963E2FBDA01EE543FBB2A2459E41BA4740751937201179,63000001.0,1,1.0,102.0,0,,,1,1,2019-07-20 00:00:00,2020-07-19 00:00:00,,,,,0908b1d9c955fc6e6904b0b8afbc112ef0cdb3a627809c16d4d59f15365288c5,11851.11,4.0,18.0,0.0
4972,49030,4581,30.07.2019,02.09.2019,5467,23652.47,10.09.2019,1,0,0,0,2018-12-07 00:00:00,2018-12-09 00:00:00,2019-12-08 00:00:00,8301.89,,4d1e39e222893cf3752886dacb0b5c6b4711dfbcc2379187d07341de58f7ac0c,2012.0,2019-11-17 00:00:00,B81E538E937BDBC8B8F15737BD01C32D01FA19E9EBF7EF5083FB54955BC89FB5,B81E538E937BDBC8B8F15737BD01C32D01FA19E9EBF7EF5083FB54955BC89FB5,78000000.0,1,0.8,150.0,0,,,1,1,2018-12-09 00:00:00,2019-12-08 00:00:00,,,,,4d1e39e222893cf3752886dacb0b5c6b4711dfbcc2379187d07341de58f7ac0c,35607.86,4.0,34.0,13.0
4973,74127,3867,30.07.2019,12.08.2019,4633,27463.65,05.11.2019,1,0,0,1,2018-08-11 00:00:00,2018-08-17 00:00:00,2019-08-16 00:00:00,3212.04,,,2016.0,,A55515E95C85C790A6DD1B890F209396902973CD31955EE8AFF58C30611C982C,A55515E95C85C790A6DD1B890F209396902973CD31955EE8AFF58C30611C982C,47000000.0,1,0.5,107.0,0,,,1,1,2018-08-17 00:00:00,2019-08-16 00:00:00,,,,,,27463.65,1.0,51.0,10.0
4974,50687,4374,30.07.2019,05.08.2019,5226,38085.91,26.09.2019,1,0,0,1,2018-09-19 00:00:00,2018-09-23 00:00:00,2019-09-22 00:00:00,4892.18,,5caf4becb0a48ba28374ed18771d3c917fe439d2f136b93722417e3f122f7e62,1990.0,,844BC671C3EC56C40049D2243D7BE951E410E2B46AFA1A25F6FCB71FB43333A1,844BC671C3EC56C40049D2243D7BE951E410E2B46AFA1A25F6FCB71FB43333A1,46000001.0,0,0.5,72.0,-1,,,1,1,2018-09-23 00:00:00,2019-09-22 00:00:00,,,,,5caf4becb0a48ba28374ed18771d3c917fe439d2f136b93722417e3f122f7e62,57409.41,,,
4975,35658,1245,30.07.2019,02.08.2019,1521,48880.0,13.08.2019,1,0,0,0,2019-06-04 00:00:00,2019-06-10 00:00:00,2020-06-09 00:00:00,3070.9,,3fce7787a23dd70559232c3c4821703fff7c01f291d20fbfc17570e2c2c10a96,2001.0,2020-06-08 00:00:00,D47F03417CB948541BD69C0BD545FBA19C294C25A1DF5C69CA7D5E46E9DCCA7A,D47F03417CB948541BD69C0BD545FBA19C294C25A1DF5C69CA7D5E46E9DCCA7A,74000009.0,1,0.9,71.0,0,,,1,1,2019-06-10 00:00:00,2019-09-09 00:00:00,,,,,3fce7787a23dd70559232c3c4821703fff7c01f291d20fbfc17570e2c2c10a96,54960.25,1.0,61.0,27.0
4976,61749,347,30.07.2019,05.08.2019,427,337097.36,30.09.2019,1,0,0,0,2018-09-14 00:00:00,2018-09-14 00:00:00,2019-09-13 00:00:00,10377.36,,76eb29498c02959ac02377a713ba6bcbc50eb90e6778218ce9b16c0f78fb20ac,2014.0,2019-09-12 00:00:00,7CDE4E2FFBDE4C6B52CB7D47D35C88A9686EC5C9567D8F4606A6DE654D71709F,7CDE4E2FFBDE4C6B52CB7D47D35C88A9686EC5C9567D8F4606A6DE654D71709F,77000000.0,1,0.9,146.0,0,,,1,1,2018-09-14 00:00:00,2019-09-13 00:00:00,,,,,76eb29498c02959ac02377a713ba6bcbc50eb90e6778218ce9b16c0f78fb20ac,337097.36,2.0,31.0,10.0
4977,99176,2085,30.07.2020,31.08.2020,2487,16400.53,23.11.2020,1,0,0,0,2019-12-05 00:00:00,2019-12-06 00:00:00,2020-12-05 00:00:00,2623.1,,56dab4dc5d8e47c227bbc55fa218d77ee6c898388fc23416b692fd31ddecdb1f,2015.0,2020-12-05 00:00:00,8F7E8344F46B9FA603665A771489FDF294252285233F232EA4A7940627E6BBA2,8F7E8344F46B9FA603665A771489FDF294252285233F232EA4A7940627E6BBA2,91000000.0,1,0.9,83.0,0,,,1,1,2019-12-06 00:00:00,2020-12-05 00:00:00,,,,,56dab4dc5d8e47c227bbc55fa218d77ee6c898388fc23416b692fd31ddecdb1f,16400.53,1.0,57.0,7.0
