,USE_PURPOSE_FLG_2,USE_PURPOSE_FLG_3,USE_PURPOSE_FLG_5,USE_PURPOSE_FLG_6,REG_COUNTRY_FLG_1,REG_COUNTRY_FLG_2,FO_num_2.0,FO_num_3.0,FO_num_4.0,FO_num_5.0,FO_num_6.0,FO_num_7.0,FO_num_8.0,FO_num_nan,DAMAGE_TYPE_2,DAMAGE_TYPE_3,DTP_DT,EURO_PROTOCOL,PREMIUM,MULTIDRIVE_FLG,BONUS_MALUS,CAR_ENG_PWR,TRAILER_FLG,PAY_AMT_sum,DRIVER_COUNT,MIN_DRIVER_AGE,MIN_DRIVER_EXP,polis_length,days_to_dtp,carr_issue_diff,start1_diff,end1_diff,car_diag_diff
83,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-07-01,0,3623.84,1,0.5,73.0,0,65810.8,1.0,52.0,19.0,364.0,59.0,8.0,0.0,364.0,-1.0
84,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2018-07-01,0,2536.69,1,0.5,78.0,0,400000.0,3.0,44.0,24.0,364.0,11.0,15.0,0.0,182.0,-1.0
85,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-07-01,1,13520.22,0,0.95,182.0,0,11458.32,2.0,35.0,10.0,364.0,305.0,10.0,0.0,364.0,-2.0
86,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-07-01,0,7708.9,1,0.75,115.0,0,16105.1,1.0,30.0,5.0,364.0,140.0,6.0,0.0,364.0,730.0
87,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-07-01,0,5390.46,1,0.85,80.0,-1,79009.73,1.0,27.0,3.0,364.0,230.0,11.0,0.0,364.0,-1.0
88,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2019-07-01,1,10673.86,0,1.0,160.0,-1,18808.39,2.0,35.0,10.0,364.0,359.0,16.0,0.0,364.0,-1.0
89,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-07-01,0,7115.9,1,0.8,109.0,0,35401.59,1.0,44.0,16.0,364.0,233.0,6.0,0.0,364.0,-303.0
90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-07-01,0,5390.46,1,0.85,80.0,-1,79009.73,1.0,27.0,3.0,364.0,230.0,11.0,0.0,364.0,-1.0
91,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-07-01,1,21347.71,1,1.0,232.0,0,81557.68,2.0,19.0,0.0,364.0,224.0,10.0,0.0,364.0,366.0
92,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-08-01,1,9059.6,1,1.0,82.0,0,7206.48,1.0,46.0,25.0,364.0,94.0,6.0,0.0,364.0,360.0
